mechanismKey,mechanism,baseScenarioKey,variantScenarioKey,caseKey,caseName,caseWeight,deltaDirectional,deltaLegalStability,deltaPrecedentStability,deltaStatutoryStability,deltaInterbranchCompliance,deltaRightsProtection,deltaPartisanAlignment,deltaShadowDocketAbuse,deltaLegitimacy,deltaReversalRate,deltaConstitutionalConflict,deltaDemocraticResponsiveness,deltaAdministrativeCost,deltaLowerCourtCompliance,deltaLowerCourtResistanceRisk,deltaEnforcementCapacity,deltaGovernmentNoncomplianceRate,deltaEmergencyOpportunism,deltaEmergencyDownstreamEffect,deltaPrecedentDurability,deltaJusticeReplacementRate,deltaOverrideAttemptRate,deltaOverrideRate
cross-checking-court,Cross-checking court,nonpartisan-commission,cross-checking-courts,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.012,0.032,0.092,0.021,-0.015,-0.034,-0.013,-0.010,-0.008,-0.073,0.022,-0.031,0.092,0.008,-0.020,0.016,-0.022,-0.014,0.027,0.084,0.026,0.000,0.000
cross-checking-court,Cross-checking court,nonpartisan-commission,cross-checking-courts,extreme-rights-risk,Extreme Rights Risk,1.000,-0.011,0.047,0.124,0.031,-0.012,-0.053,-0.011,-0.007,-0.003,-0.074,0.015,-0.040,0.084,0.013,-0.021,0.017,-0.013,-0.013,0.025,0.112,0.028,0.000,0.000
cross-checking-court,Cross-checking court,nonpartisan-commission,cross-checking-courts,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.007,0.027,0.073,0.019,-0.011,-0.014,-0.015,-0.007,-0.000,-0.042,0.015,-0.034,0.080,0.010,-0.020,0.018,-0.006,-0.016,0.018,0.067,0.025,0.000,0.000
cross-checking-court,Cross-checking court,nonpartisan-commission,cross-checking-courts,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.016,-0.003,0.006,-0.001,-0.013,-0.014,-0.008,-0.007,0.009,-0.008,0.021,-0.009,0.078,0.004,-0.021,0.019,-0.006,-0.017,0.008,0.005,0.021,0.000,0.000
cross-checking-court,Cross-checking court,nonpartisan-commission,cross-checking-courts,emergency-application-flood,Emergency Application Flood,1.000,-0.007,0.043,0.111,0.026,-0.009,-0.032,-0.015,-0.012,-0.013,-0.107,0.015,-0.040,0.090,0.011,-0.020,0.015,-0.025,-0.015,0.027,0.102,0.032,0.000,0.000
cross-checking-court,Cross-checking court,nonpartisan-commission,cross-checking-courts,override-evasion-loop,Override Evasion Loop,1.000,-0.009,0.039,0.104,0.025,-0.008,-0.042,-0.011,-0.008,0.008,-0.065,0.014,-0.020,0.087,0.017,-0.024,0.018,-0.037,-0.014,0.023,0.094,0.024,0.000,0.000
dual-court-filter,Dual-court filter,nonpartisan-commission,dual-supreme-courts,baseline,Baseline,1.000,-0.026,-0.020,-0.025,-0.010,-0.023,0.002,-0.008,-0.007,0.011,0.000,0.033,0.005,0.116,-0.006,0.001,-0.001,0.004,-0.016,0.010,-0.026,0.018,0.000,0.000
dual-court-filter,Dual-court filter,nonpartisan-commission,dual-supreme-courts,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.027,-0.020,-0.023,-0.009,-0.026,0.000,-0.011,-0.012,0.029,0.005,0.036,0.004,0.120,-0.006,0.001,0.000,0.009,-0.016,0.011,-0.024,0.022,0.000,0.000
dual-court-filter,Dual-court filter,nonpartisan-commission,dual-supreme-courts,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.038,-0.034,-0.060,-0.012,-0.031,-0.001,-0.013,-0.010,0.004,0.005,0.039,0.001,0.131,-0.015,0.005,-0.004,0.019,-0.012,0.032,-0.062,0.028,0.000,0.000
dual-court-filter,Dual-court filter,nonpartisan-commission,dual-supreme-courts,extreme-rights-risk,Extreme Rights Risk,1.000,-0.029,-0.016,-0.024,-0.005,-0.019,-0.009,-0.013,0.002,-0.006,0.011,0.026,-0.004,0.120,-0.009,0.003,-0.004,-0.005,-0.013,0.032,-0.026,0.028,0.000,0.000
dual-court-filter,Dual-court filter,nonpartisan-commission,dual-supreme-courts,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.032,-0.029,-0.050,-0.012,-0.025,-0.005,-0.012,-0.007,0.007,0.006,0.034,0.002,0.118,-0.009,0.003,-0.002,0.009,-0.013,0.023,-0.050,0.031,0.000,0.000
dual-court-filter,Dual-court filter,nonpartisan-commission,dual-supreme-courts,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.027,-0.020,-0.028,-0.009,-0.022,-0.003,-0.011,-0.010,0.013,-0.004,0.026,-0.003,0.111,-0.007,0.003,-0.002,0.016,-0.016,0.009,-0.029,0.011,0.000,0.000
dual-court-filter,Dual-court filter,nonpartisan-commission,dual-supreme-courts,emergency-application-flood,Emergency Application Flood,1.000,-0.039,-0.036,-0.075,-0.011,-0.023,-0.004,-0.028,-0.010,0.001,0.011,0.029,0.002,0.128,-0.015,0.006,-0.005,0.019,-0.012,0.033,-0.077,0.027,0.000,0.000
dual-court-filter,Dual-court filter,nonpartisan-commission,dual-supreme-courts,override-evasion-loop,Override Evasion Loop,1.000,-0.030,-0.023,-0.041,-0.008,-0.020,-0.001,-0.017,-0.010,0.007,0.002,0.023,-0.000,0.118,-0.010,0.004,-0.003,0.018,-0.014,0.024,-0.041,0.021,0.000,0.000
constitutional-council,Constitutional council,nonpartisan-commission,constitutional-council,baseline,Baseline,1.000,-0.005,0.010,0.014,0.003,0.014,-0.003,0.007,0.004,0.052,-0.005,0.006,0.014,0.070,0.005,-0.001,0.040,0.002,0.000,0.001,0.014,0.027,0.077,0.018
constitutional-council,Constitutional council,nonpartisan-commission,constitutional-council,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.005,0.010,0.013,0.004,0.014,-0.001,0.003,-0.003,0.053,-0.005,0.007,0.014,0.069,0.007,-0.002,0.041,0.003,-0.000,-0.001,0.014,0.033,0.077,0.023
constitutional-council,Constitutional council,nonpartisan-commission,constitutional-council,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.002,0.019,0.022,0.006,0.028,-0.000,0.009,-0.004,0.068,-0.017,0.004,0.024,0.093,0.013,-0.005,0.048,-0.020,-0.000,-0.008,0.023,0.037,0.140,0.052
constitutional-council,Constitutional council,nonpartisan-commission,constitutional-council,extreme-rights-risk,Extreme Rights Risk,1.000,-0.015,-0.006,-0.013,-0.007,0.003,0.001,0.004,-0.000,0.069,0.010,0.040,0.038,0.094,0.002,-0.001,0.048,0.011,-0.001,0.001,-0.012,0.036,0.302,0.103
constitutional-council,Constitutional council,nonpartisan-commission,constitutional-council,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.010,0.004,0.011,-0.001,0.003,0.009,0.011,0.002,0.071,-0.009,0.034,0.030,0.088,-0.001,-0.001,0.047,0.018,-0.000,0.002,0.010,0.026,0.207,0.080
constitutional-council,Constitutional council,nonpartisan-commission,constitutional-council,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.004,0.012,0.018,0.005,0.015,-0.003,0.005,-0.002,0.046,-0.003,0.004,0.012,0.066,0.007,-0.002,0.039,-0.005,0.000,-0.002,0.019,0.034,0.068,0.017
constitutional-council,Constitutional council,nonpartisan-commission,constitutional-council,emergency-application-flood,Emergency Application Flood,1.000,-0.003,0.019,0.026,0.008,0.023,-0.002,0.015,-0.010,0.073,-0.026,0.002,0.027,0.092,0.012,-0.002,0.049,0.008,-0.002,-0.012,0.028,0.031,0.189,0.080
constitutional-council,Constitutional council,nonpartisan-commission,constitutional-council,override-evasion-loop,Override Evasion Loop,1.000,-0.010,0.004,0.011,-0.003,0.005,0.008,0.012,0.001,0.070,-0.005,0.032,0.047,0.094,0.003,-0.002,0.048,0.010,0.000,0.004,0.010,0.024,0.275,0.114
constitutional-remand,Constitutional remand,nonpartisan-commission,constitutional-remand,baseline,Baseline,1.000,-0.000,0.024,0.037,0.016,0.020,-0.007,-0.001,-0.003,0.022,-0.013,-0.006,0.011,0.076,0.013,-0.033,0.014,0.001,-0.000,-0.003,0.036,0.020,0.064,0.020
constitutional-remand,Constitutional remand,nonpartisan-commission,constitutional-remand,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.000,0.021,0.025,0.013,0.025,-0.005,-0.002,-0.002,0.021,-0.010,-0.012,0.010,0.073,0.018,-0.035,0.014,-0.015,0.000,-0.003,0.025,0.026,0.049,0.013
constitutional-remand,Constitutional remand,nonpartisan-commission,constitutional-remand,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.003,0.037,0.066,0.019,0.027,-0.007,0.002,0.004,0.029,-0.034,-0.004,0.018,0.100,0.016,-0.035,0.020,-0.007,0.001,0.000,0.064,0.023,0.108,0.039
constitutional-remand,Constitutional remand,nonpartisan-commission,constitutional-remand,extreme-rights-risk,Extreme Rights Risk,1.000,0.005,0.043,0.088,0.024,0.018,-0.002,-0.002,-0.001,0.039,-0.035,0.008,0.022,0.098,0.025,-0.040,0.024,-0.009,-0.001,-0.001,0.084,0.021,0.219,0.067
constitutional-remand,Constitutional remand,nonpartisan-commission,constitutional-remand,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.007,0.042,0.079,0.027,0.021,0.005,0.002,-0.003,0.038,-0.042,-0.001,0.011,0.093,0.023,-0.037,0.022,0.003,-0.002,-0.001,0.076,0.020,0.147,0.056
constitutional-remand,Constitutional remand,nonpartisan-commission,constitutional-remand,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.002,0.020,0.032,0.015,0.017,-0.003,-0.001,0.002,0.029,-0.010,-0.000,0.015,0.081,0.013,-0.034,0.015,-0.000,0.000,0.001,0.029,0.035,0.047,0.015
constitutional-remand,Constitutional remand,nonpartisan-commission,constitutional-remand,emergency-application-flood,Emergency Application Flood,1.000,0.010,0.054,0.101,0.028,0.033,-0.001,-0.006,0.001,0.036,-0.069,-0.010,0.017,0.108,0.026,-0.038,0.024,-0.016,-0.000,-0.001,0.098,0.029,0.140,0.052
constitutional-remand,Constitutional remand,nonpartisan-commission,constitutional-remand,override-evasion-loop,Override Evasion Loop,1.000,0.009,0.051,0.105,0.030,0.020,0.002,0.000,-0.001,0.036,-0.042,-0.003,0.031,0.096,0.025,-0.038,0.023,0.002,-0.000,0.001,0.100,0.015,0.203,0.079
public-interest-filter,Public-interest litigation filter,nonpartisan-commission,public-interest-litigation-filter,baseline,Baseline,1.000,-0.001,0.000,0.003,0.001,-0.003,0.006,0.002,-0.001,0.003,-0.001,-0.000,0.001,0.021,-0.003,0.002,0.000,0.014,0.000,-0.001,0.004,0.012,0.000,0.000
public-interest-filter,Public-interest litigation filter,nonpartisan-commission,public-interest-litigation-filter,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.001,0.008,0.015,0.005,0.003,-0.002,0.002,-0.004,0.004,0.000,-0.006,-0.003,0.020,0.004,-0.001,0.000,-0.005,0.000,-0.001,0.015,0.000,0.000,0.000
public-interest-filter,Public-interest litigation filter,nonpartisan-commission,public-interest-litigation-filter,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.000,0.007,0.026,0.003,-0.006,0.006,0.001,0.000,0.013,-0.012,0.005,0.002,0.031,-0.002,0.001,0.001,0.013,0.001,0.002,0.025,-0.001,0.000,0.000
public-interest-filter,Public-interest litigation filter,nonpartisan-commission,public-interest-litigation-filter,extreme-rights-risk,Extreme Rights Risk,1.000,-0.000,-0.000,0.001,-0.000,-0.001,0.011,0.003,0.002,0.006,0.000,0.000,0.003,0.027,0.001,-0.001,0.001,-0.004,-0.000,0.003,-0.001,-0.001,0.000,0.000
public-interest-filter,Public-interest litigation filter,nonpartisan-commission,public-interest-litigation-filter,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.004,0.016,0.036,0.009,0.003,0.006,0.001,0.000,0.002,-0.017,-0.006,-0.007,0.025,0.003,-0.001,-0.000,-0.012,0.001,-0.001,0.033,0.001,0.000,0.000
public-interest-filter,Public-interest litigation filter,nonpartisan-commission,public-interest-litigation-filter,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.002,0.000,0.005,0.000,-0.003,0.007,-0.001,0.003,0.011,-0.002,0.004,0.004,0.027,-0.002,0.000,0.001,0.006,0.002,0.002,0.005,-0.005,0.000,0.000
public-interest-filter,Public-interest litigation filter,nonpartisan-commission,public-interest-litigation-filter,emergency-application-flood,Emergency Application Flood,1.000,0.006,0.016,0.030,0.008,0.009,0.002,-0.003,-0.005,0.002,-0.026,-0.012,-0.006,0.024,0.009,-0.003,0.000,-0.023,-0.000,-0.010,0.030,0.000,0.000,0.000
public-interest-filter,Public-interest litigation filter,nonpartisan-commission,public-interest-litigation-filter,override-evasion-loop,Override Evasion Loop,1.000,0.003,0.012,0.031,0.007,-0.000,0.008,0.005,0.001,0.003,-0.011,-0.003,0.001,0.027,0.002,-0.001,0.000,-0.003,-0.001,0.001,0.027,0.007,0.000,0.000
legislative-override,Legislative override,term-limited-balanced,legislative-override,baseline,Baseline,1.000,-0.005,0.001,0.007,0.001,-0.006,-0.005,-0.019,-0.001,0.001,-0.005,0.008,-0.001,0.025,0.000,0.001,-0.000,0.003,0.001,-0.001,0.006,-0.005,0.080,0.015
legislative-override,Legislative override,term-limited-balanced,legislative-override,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.005,-0.001,0.003,-0.001,-0.006,-0.001,-0.019,-0.002,0.006,0.001,0.012,0.002,0.028,0.000,-0.000,0.000,0.000,0.001,-0.001,0.003,0.010,0.078,0.014
legislative-override,Legislative override,term-limited-balanced,legislative-override,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.006,-0.005,0.003,-0.004,-0.014,0.001,-0.043,0.000,0.014,0.005,0.021,0.012,0.034,-0.004,0.001,0.001,0.011,0.000,0.003,0.003,0.007,0.147,0.041
legislative-override,Legislative override,term-limited-balanced,legislative-override,extreme-rights-risk,Extreme Rights Risk,1.000,-0.008,-0.008,-0.003,-0.004,-0.017,0.007,-0.037,-0.003,0.001,-0.011,0.031,0.009,0.024,-0.002,0.001,-0.001,0.004,0.000,-0.005,-0.002,-0.002,0.299,0.078
legislative-override,Legislative override,term-limited-balanced,legislative-override,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.007,-0.006,-0.002,-0.002,-0.014,0.000,-0.026,-0.003,0.005,-0.007,0.023,0.008,0.025,-0.002,0.001,0.001,0.013,-0.001,-0.001,-0.002,-0.001,0.202,0.059
legislative-override,Legislative override,term-limited-balanced,legislative-override,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.005,-0.007,-0.011,-0.003,-0.007,0.002,-0.024,-0.003,0.005,0.003,0.011,0.004,0.026,-0.002,0.000,0.000,0.005,0.000,-0.000,-0.009,-0.003,0.077,0.014
legislative-override,Legislative override,term-limited-balanced,legislative-override,emergency-application-flood,Emergency Application Flood,1.000,-0.008,-0.006,0.004,-0.002,-0.019,0.003,-0.045,0.001,0.011,0.000,0.022,0.011,0.033,-0.009,0.004,0.001,0.033,-0.000,0.002,0.004,0.003,0.188,0.055
legislative-override,Legislative override,term-limited-balanced,legislative-override,override-evasion-loop,Override Evasion Loop,1.000,-0.009,-0.011,-0.009,-0.005,-0.018,0.005,-0.024,0.000,0.009,0.003,0.031,0.020,0.030,-0.003,0.000,0.002,0.009,-0.001,0.001,-0.009,0.003,0.275,0.102
override-window,Legislative override window,term-limited-balanced,legislative-override-window,baseline,Baseline,1.000,-0.008,-0.008,-0.011,-0.003,-0.011,-0.004,-0.024,0.000,0.001,0.003,0.015,0.004,0.025,-0.005,0.002,0.000,0.014,0.002,0.001,-0.010,-0.007,0.094,0.026
override-window,Legislative override window,term-limited-balanced,legislative-override-window,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.007,-0.009,-0.011,-0.004,-0.010,0.003,-0.025,0.002,0.015,0.005,0.021,0.013,0.033,-0.002,-0.001,0.002,0.003,0.001,0.003,-0.010,0.004,0.092,0.026
override-window,Legislative override window,term-limited-balanced,legislative-override-window,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.008,-0.007,-0.000,-0.002,-0.019,0.004,-0.039,0.002,0.010,0.000,0.026,0.012,0.031,-0.008,0.003,0.002,0.025,-0.000,0.002,-0.000,0.016,0.165,0.060
override-window,Legislative override window,term-limited-balanced,legislative-override-window,extreme-rights-risk,Extreme Rights Risk,1.000,-0.011,-0.012,-0.005,-0.005,-0.025,0.008,-0.023,0.001,0.007,-0.001,0.041,0.019,0.030,-0.008,0.003,0.003,0.030,-0.000,-0.000,-0.005,0.000,0.302,0.096
override-window,Legislative override window,term-limited-balanced,legislative-override-window,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.008,-0.002,0.008,0.002,-0.016,-0.002,-0.035,0.002,0.005,-0.010,0.028,0.014,0.030,-0.005,0.001,0.003,0.012,0.000,0.003,0.007,0.006,0.222,0.086
override-window,Legislative override window,term-limited-balanced,legislative-override-window,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.004,-0.003,0.004,-0.002,-0.009,0.002,-0.023,-0.002,0.013,-0.002,0.017,0.010,0.030,-0.002,-0.001,0.002,0.002,-0.000,0.002,0.004,0.011,0.074,0.021
override-window,Legislative override window,term-limited-balanced,legislative-override-window,emergency-application-flood,Emergency Application Flood,1.000,-0.006,-0.009,-0.017,-0.002,-0.006,-0.001,-0.046,-0.003,0.014,0.015,0.016,0.014,0.030,0.001,-0.001,0.003,-0.006,-0.000,-0.000,-0.016,-0.008,0.191,0.071
override-window,Legislative override window,term-limited-balanced,legislative-override-window,override-evasion-loop,Override Evasion Loop,1.000,-0.009,-0.007,-0.002,-0.002,-0.019,0.000,-0.040,-0.003,0.013,-0.001,0.033,0.022,0.029,-0.005,0.002,0.004,0.024,-0.000,-0.001,-0.001,-0.002,0.294,0.117
jurisdiction-stripping-constraints,Jurisdiction-stripping constraints,term-limited-balanced,jurisdiction-stripping-constraints,baseline,Baseline,1.000,0.002,0.000,0.008,-0.001,-0.004,0.002,-0.022,-0.003,0.011,0.003,0.009,0.007,0.023,0.003,-0.002,0.031,-0.002,-0.001,0.001,0.008,-0.008,0.092,0.000
jurisdiction-stripping-constraints,Jurisdiction-stripping constraints,term-limited-balanced,jurisdiction-stripping-constraints,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.001,-0.003,0.001,-0.003,-0.006,0.005,-0.026,0.000,0.010,-0.001,0.010,0.008,0.023,0.000,-0.001,0.031,0.010,0.001,0.001,0.001,0.006,0.090,0.000
jurisdiction-stripping-constraints,Jurisdiction-stripping constraints,term-limited-balanced,jurisdiction-stripping-constraints,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.003,-0.002,0.008,0.001,-0.012,0.003,-0.031,0.005,0.008,-0.011,0.016,0.005,0.025,-0.002,0.001,0.030,0.020,0.000,0.006,0.006,0.001,0.150,0.000
jurisdiction-stripping-constraints,Jurisdiction-stripping constraints,term-limited-balanced,jurisdiction-stripping-constraints,extreme-rights-risk,Extreme Rights Risk,1.000,-0.004,-0.007,-0.000,-0.003,-0.017,0.000,-0.040,-0.001,0.005,-0.003,0.022,0.011,0.020,-0.001,0.001,0.030,0.021,-0.000,-0.001,0.000,-0.012,0.311,0.000
jurisdiction-stripping-constraints,Jurisdiction-stripping constraints,term-limited-balanced,jurisdiction-stripping-constraints,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.001,-0.003,0.005,-0.002,-0.011,0.007,-0.035,0.001,0.013,0.006,0.021,0.010,0.025,0.002,-0.002,0.031,0.000,0.001,-0.001,0.005,-0.007,0.206,0.000
jurisdiction-stripping-constraints,Jurisdiction-stripping constraints,term-limited-balanced,jurisdiction-stripping-constraints,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.001,-0.003,-0.003,-0.001,-0.004,-0.002,-0.016,-0.001,0.001,-0.000,0.005,0.001,0.018,0.001,0.000,0.030,0.012,0.000,-0.003,-0.002,0.002,0.081,0.000
jurisdiction-stripping-constraints,Jurisdiction-stripping constraints,term-limited-balanced,jurisdiction-stripping-constraints,emergency-application-flood,Emergency Application Flood,1.000,0.001,-0.001,0.007,-0.001,-0.007,0.003,-0.056,-0.004,0.017,-0.005,0.011,0.008,0.023,0.005,-0.001,0.031,0.005,-0.001,-0.003,0.007,0.005,0.192,0.000
jurisdiction-stripping-constraints,Jurisdiction-stripping constraints,term-limited-balanced,jurisdiction-stripping-constraints,override-evasion-loop,Override Evasion Loop,1.000,-0.005,-0.010,-0.009,-0.003,-0.017,0.004,-0.038,-0.000,0.005,0.001,0.020,0.012,0.019,-0.002,0.002,0.030,0.024,0.000,-0.003,-0.008,-0.004,0.289,0.000
emergency-integrity-bundle,Emergency integrity bundle,current-us-like,emergency-integrity-package,baseline,Baseline,1.000,0.014,0.007,0.004,-0.007,0.023,0.006,-0.012,-0.221,0.166,0.014,-0.037,0.017,0.107,0.031,-0.014,0.012,-0.041,-0.191,-0.060,0.043,0.038,0.000,0.000
emergency-integrity-bundle,Emergency integrity bundle,current-us-like,emergency-integrity-package,extreme-appointment-capture,Extreme Appointment Capture,1.000,0.015,0.012,0.016,-0.003,0.023,0.003,-0.010,-0.224,0.177,0.011,-0.038,0.013,0.109,0.032,-0.014,0.012,-0.040,-0.193,-0.059,0.055,0.034,0.000,0.000
emergency-integrity-bundle,Emergency integrity bundle,current-us-like,emergency-integrity-package,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,0.011,-0.018,-0.071,-0.020,0.038,-0.016,-0.027,-0.400,0.315,0.119,-0.066,0.049,0.134,0.048,-0.024,0.023,-0.064,-0.223,-0.150,0.004,0.044,0.000,0.000
emergency-integrity-bundle,Emergency integrity bundle,current-us-like,emergency-integrity-package,extreme-rights-risk,Extreme Rights Risk,1.000,0.007,-0.032,-0.082,-0.035,0.021,0.010,-0.011,-0.317,0.238,0.105,-0.042,0.063,0.121,0.021,-0.015,0.016,-0.031,-0.209,-0.145,-0.019,0.041,0.000,0.000
emergency-integrity-bundle,Emergency integrity bundle,current-us-like,emergency-integrity-package,weak-mandate-legislation,Weak-Mandate Legislation,1.000,0.006,-0.021,-0.063,-0.024,0.024,-0.005,-0.010,-0.275,0.210,0.082,-0.044,0.059,0.116,0.027,-0.016,0.015,-0.045,-0.202,-0.112,-0.008,0.046,0.000,0.000
emergency-integrity-bundle,Emergency integrity bundle,current-us-like,emergency-integrity-package,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,0.015,0.009,0.011,-0.006,0.022,0.008,-0.011,-0.213,0.169,0.014,-0.034,0.017,0.107,0.030,-0.014,0.012,-0.042,-0.190,-0.056,0.049,0.028,0.000,0.000
emergency-integrity-bundle,Emergency integrity bundle,current-us-like,emergency-integrity-package,emergency-application-flood,Emergency Application Flood,1.000,-0.001,-0.045,-0.132,-0.032,0.030,-0.025,-0.015,-0.440,0.348,0.197,-0.057,0.069,0.141,0.041,-0.023,0.026,-0.040,-0.228,-0.183,-0.043,0.052,0.000,0.000
emergency-integrity-bundle,Emergency integrity bundle,current-us-like,emergency-integrity-package,override-evasion-loop,Override Evasion Loop,1.000,0.008,-0.027,-0.080,-0.027,0.027,-0.001,-0.014,-0.330,0.240,0.099,-0.045,0.033,0.116,0.031,-0.017,0.016,-0.042,-0.211,-0.142,-0.013,0.042,0.000,0.000
remand-override-window-bundle,Remand and override-window bundle,term-limited-balanced,remand-override-window-package,baseline,Baseline,1.000,-0.006,0.024,0.043,0.013,0.017,-0.002,-0.017,-0.026,0.050,-0.008,0.006,0.020,0.138,0.016,-0.036,0.017,-0.008,-0.027,0.012,0.042,0.029,0.065,0.018
remand-override-window-bundle,Remand and override-window bundle,term-limited-balanced,remand-override-window-package,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.005,0.024,0.048,0.012,0.017,0.005,-0.010,-0.023,0.049,-0.006,0.009,0.023,0.140,0.013,-0.036,0.017,-0.008,-0.028,0.011,0.048,0.044,0.060,0.013
remand-override-window-bundle,Remand and override-window bundle,term-limited-balanced,remand-override-window-package,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.004,0.048,0.093,0.026,0.026,-0.012,-0.030,-0.035,0.042,-0.042,-0.000,0.014,0.161,0.015,-0.034,0.021,-0.006,-0.024,0.028,0.090,0.018,0.092,0.032
remand-override-window-bundle,Remand and override-window bundle,term-limited-balanced,remand-override-window-package,extreme-rights-risk,Extreme Rights Risk,1.000,-0.001,0.060,0.124,0.038,0.020,-0.018,-0.023,-0.028,0.034,-0.059,-0.000,0.007,0.146,0.022,-0.036,0.023,0.010,-0.026,0.023,0.116,0.023,0.203,0.059
remand-override-window-bundle,Remand and override-window bundle,term-limited-balanced,remand-override-window-package,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.002,0.037,0.071,0.024,0.018,0.003,-0.014,-0.032,0.045,-0.028,0.006,0.012,0.143,0.019,-0.036,0.022,0.005,-0.027,0.015,0.070,0.023,0.149,0.050
remand-override-window-bundle,Remand and override-window bundle,term-limited-balanced,remand-override-window-package,appointment-timing-manipulation,Appointment Timing Manipulation,1.000,-0.006,0.019,0.032,0.012,0.016,0.002,-0.011,-0.025,0.042,-0.013,0.002,0.017,0.132,0.012,-0.033,0.015,0.006,-0.028,0.009,0.032,0.006,0.055,0.013
remand-override-window-bundle,Remand and override-window bundle,term-limited-balanced,remand-override-window-package,emergency-application-flood,Emergency Application Flood,1.000,-0.000,0.058,0.122,0.031,0.023,-0.010,-0.036,-0.039,0.043,-0.070,-0.004,0.012,0.165,0.013,-0.032,0.021,0.016,-0.025,0.029,0.118,0.032,0.103,0.040
remand-override-window-bundle,Remand and override-window bundle,term-limited-balanced,remand-override-window-package,override-evasion-loop,Override Evasion Loop,1.000,0.002,0.057,0.120,0.032,0.019,-0.008,-0.020,-0.033,0.045,-0.053,0.000,0.027,0.151,0.019,-0.035,0.024,0.016,-0.027,0.021,0.115,0.027,0.186,0.065
panel-jurisdiction-safeguards,Panel and jurisdiction safeguards,term-limited-balanced,panel-jurisdiction-safeguards,baseline,Baseline,1.000,-0.009,-0.003,0.005,-0.006,-0.007,-0.004,0.003,-0.007,0.045,-0.002,0.008,0.000,0.065,-0.002,0.001,0.029,0.015,-0.015,0.011,0.007,0.021,0.079,0.000
panel-jurisdiction-safeguards,Panel and jurisdiction safeguards,term-limited-balanced,panel-jurisdiction-safeguards,extreme-appointment-capture,Extreme Appointment Capture,1.000,-0.006,0.001,0.012,-0.004,-0.003,-0.005,0.004,-0.009,0.046,-0.003,0.007,0.002,0.066,0.000,-0.001,0.029,0.000,-0.016,0.011,0.013,0.039,0.085,0.000
panel-jurisdiction-safeguards,Panel and jurisdiction safeguards,term-limited-balanced,panel-jurisdiction-safeguards,extreme-emergency-pressure,Extreme Emergency Pressure,1.000,-0.005,0.021,0.066,0.005,-0.006,-0.010,0.003,-0.012,0.047,-0.039,0.011,-0.006,0.075,-0.000,0.001,0.027,0.001,-0.013,0.029,0.063,0.039,0.123,0.000
panel-jurisdiction-safeguards,Panel and jurisdiction safeguards,term-limited-balanced,panel-jurisdiction-safeguards,extreme-rights-risk,Extreme Rights Risk,1.000,-0.016,0.001,0.035,-0.002,-0.027,-0.012,-0.004,-0.001,0.053,-0.018,0.036,0.008,0.078,-0.008,0.003,0.029,0.030,-0.011,0.034,0.029,0.041,0.272,0.000
panel-jurisdiction-safeguards,Panel and jurisdiction safeguards,term-limited-balanced,panel-jurisdiction-safeguards,weak-mandate-legislation,Weak-Mandate Legislation,1.000,-0.010,0.007,0.037,-0.001,-0.015,-0.007,-0.003,-0.006,0.044,-0.009,0.021,-0.003,0.069,-0.003,0.002,0.027,0.013,-0.015,0.022,0.035,0.027,0.210,0.000
